node_id,type,layer,cabinet,slot,order,display_name,remarks
device:PART_0,device,part,CAB-PART,SLOT-PART,0,PART_0,generated sample device
board:PART_0/PART_BOARD,board,part,CAB-PART,SLOT-PART,0,PART_BOARD,generated sample board
port:PART_0/PART_BOARD/P0,port,part,CAB-PART,SLOT-PART,0,P0,generated sample port
device:BRK_3,device,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,3,BRK_3,generated sample device
board:BRK_3/BREAKOUT_BOARD,board,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,3,BREAKOUT_BOARD,generated sample board
port:BRK_3/BREAKOUT_BOARD/P3,port,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,3,P3,generated sample port
route:TRAY_0,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_0,generated sample route-node
route:TRAY_1,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_1,generated sample route-node
route:TRAY_2,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_2,generated sample route-node
route:TRAY_3,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_3,generated sample route-node
route:TRAY_4,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_4,generated sample route-node
device:BRK_1,device,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,1,BRK_1,generated sample device
board:BRK_1/BREAKOUT_BOARD,board,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,1,BREAKOUT_BOARD,generated sample board
port:BRK_1/BREAKOUT_BOARD/P1,port,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,1,P1,generated sample port
device:IFACE_10,device,interface,CAB-INTERFACE,SLOT-INTERFACE,10,IFACE_10,generated sample device
board:IFACE_10/INTERFACE_BOARD,board,interface,CAB-INTERFACE,SLOT-INTERFACE,10,INTERFACE_BOARD,generated sample board
port:IFACE_10/INTERFACE_BOARD/P10,port,interface,CAB-INTERFACE,SLOT-INTERFACE,10,P10,generated sample port
route:TRAY_5,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_5,generated sample route-node
device:IFACE_2,device,interface,CAB-INTERFACE,SLOT-INTERFACE,2,IFACE_2,generated sample device
board:IFACE_2/INTERFACE_BOARD,board,interface,CAB-INTERFACE,SLOT-INTERFACE,2,INTERFACE_BOARD,generated sample board
port:IFACE_2/INTERFACE_BOARD/P2,port,interface,CAB-INTERFACE,SLOT-INTERFACE,2,P2,generated sample port
device:CTRL_17,device,control,CAB-CONTROL,SLOT-CONTROL,17,CTRL_17,generated sample device
board:CTRL_17/CONTROL_BOARD,board,control,CAB-CONTROL,SLOT-CONTROL,17,CONTROL_BOARD,generated sample board
port:CTRL_17/CONTROL_BOARD/P17,port,control,CAB-CONTROL,SLOT-CONTROL,17,P17,generated sample port
route:TRAY_6,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_6,generated sample route-node
device:CTRL_3,device,control,CAB-CONTROL,SLOT-CONTROL,3,CTRL_3,generated sample device
board:CTRL_3/CONTROL_BOARD,board,control,CAB-CONTROL,SLOT-CONTROL,3,CONTROL_BOARD,generated sample board
port:CTRL_3/CONTROL_BOARD/P3,port,control,CAB-CONTROL,SLOT-CONTROL,3,P3,generated sample port
device:SW_24,device,switch,CAB-SWITCH,SLOT-SWITCH,24,SW_24,generated sample device
board:SW_24/SWITCH_CARD,board,switch,CAB-SWITCH,SLOT-SWITCH,24,SWITCH_CARD,generated sample board
port:SW_24/SWITCH_CARD/P24,port,switch,CAB-SWITCH,SLOT-SWITCH,24,P24,generated sample port
route:TRAY_7,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_7,generated sample route-node
device:SW_4,device,switch,CAB-SWITCH,SLOT-SWITCH,4,SW_4,generated sample device
